	beta-lactam	tetracycline	aminoglycoside	macrolide
05CEB01STA	0	0	0	0
05CEB18STA	1	0	0	0
05CEB52STA	1	1	0	0
07CEB132STA	2	0	0	0
07CEB151STA	1	0	0	0
07CEB153STA	0	0	0	0
07CEB234STA	0	0	0	0
07CEB89STA	1	0	0	0
07CEB90STA	0	0	0	0
07CEB91STA	1	0	0	0
07CEB93STA	0	0	0	0
07CEB94STA	1	0	0	0
09CEB04STA	0	0	0	0
09CEB204STA	0	0	0	0
09CEB303STA	0	0	0	0
09CEB314STA	0	0	0	0
09CEB319STA	0	0	0	0
09CEB329STA	0	0	0	0
11CEB145STA	1	1	3	1
11CEB272STA	1	0	0	0
11CEB273STA	2	0	0	0
11CEB274STA	1	0	1	0
11CEB275STA	1	1	1	0
11CEB276STA	2	0	0	0
11CEB277STA	0	0	1	0
