#GENOME	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
11CEB145STA	11CEB145STA_3	434242	434853	sex	1-612/612	===============	0/0	100.00	97.06	enterotox_staph		
11CEB145STA	11CEB145STA_3	1835103	1835879	seg	1-777/777	===============	0/0	100.00	98.07	enterotox_staph		
11CEB145STA	11CEB145STA_3	1836162	1836917	sen	1-756/756	===============	0/0	100.00	98.02	enterotox_staph		
11CEB145STA	11CEB145STA_3	1836956	1837727	seu	1-786/786	========/======	2/16	98.09	95.81	enterotox_staph		
11CEB145STA	11CEB145STA_3	1837881	1838609	sei	1-729/729	===============	0/0	100.00	97.26	enterotox_staph		
11CEB145STA	11CEB145STA_3	1838644	1839363	sem	1-720/720	===============	0/0	100.00	92.92	enterotox_staph		
11CEB145STA	11CEB145STA_3	1839644	1840408	seo	1-765/765	===============	0/0	100.00	91.77	enterotox_staph		
11CEB145STA	11CEB145STA_3	1962969	1963742	sea	1-774/774	===============	0/0	100.00	98.71	enterotox_staph		
11CEB145STA	11CEB145STA_3	2008197	2008919	sel	1-723/723	===============	0/0	100.00	100.00	enterotox_staph		
11CEB145STA	11CEB145STA_3	2009088	2009888	sec	1-801/801	===============	0/0	100.00	96.63	enterotox_staph		
11CEB145STA	11CEB145STA_3	2012114	2012818	TSST1	1-705/705	===============	0/0	100.00	100.00	enterotox_staph		
