#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
11CEB274STA	11CEB274STA_7	57888	60206	adsA	1-2319/2319	===============	0/0	100.00	96.98	vfdb2	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	140578	141094	cap8A	1-516/516	========/======	1/1	100.00	98.84	vfdb2	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	141262	141948	cap8B	1-687/687	===============	0/0	100.00	96.22	vfdb2	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	141951	142715	cap8C	1-765/765	===============	0/0	100.00	98.69	vfdb2	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	142735	144558	cap8D	1-1824/1824	===============	0/0	100.00	99.18	vfdb2	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	144548	145576	cap8E	1-1029/1029	===============	0/0	100.00	98.83	vfdb2	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	145589	146698	cap8F	1-1110/1110	===============	0/0	100.00	98.02	vfdb2	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	146702	147826	cap8G	1-1125/1125	===============	0/0	100.00	98.93	vfdb2	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	147829	148908	cap8H	1-1080/1080	===============	0/0	100.00	99.26	vfdb2	NP_644946	(cap8H) capsular polysaccharide synthesis enzyme Cap8H [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	148901	150295	cap8I	1-1395/1395	===============	0/0	100.00	98.92	vfdb2	NP_644947	(cap8I) capsular polysaccharide synthesis enzyme Cap8I [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	150292	150849	cap8J	1-558/558	===============	0/0	100.00	98.92	vfdb2	NP_644948	(cap8J) capsular polysaccharide synthesis enzyme Cap8J [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	150858	152096	cap8K	1-1239/1239	===============	0/0	100.00	98.95	vfdb2	NP_644949	(cap8K) capsular polysaccharide synthesis enzyme Cap8K [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	152130	153335	cap8L	1-1206/1206	===============	0/0	100.00	98.51	vfdb2	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	153346	153903	cap8M	1-558/558	===============	0/0	100.00	99.10	vfdb2	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	153903	154790	cap8N	1-888/888	===============	0/0	100.00	97.86	vfdb2	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	154844	156106	cap8O	1-1263/1263	===============	0/0	100.00	99.37	vfdb2	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	156183	157328	cap8P	1-1146/1146	===============	0/0	100.00	99.30	vfdb2	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	296083	296376	esxA	1-294/294	===============	0/0	100.00	99.66	vfdb2	NP_645073	(esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	296459	299488	esaA	1-3030/3030	===============	0/0	100.00	99.14	vfdb2	NP_645074	(esaA) type VII secretion system protein EsaA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	299488	299946	essA	1-459/459	===============	0/0	100.00	100.00	vfdb2	NP_645075	(essA) type VII secretion system protein EssA monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	299918	300160	esaB	1-243/243	===============	0/0	100.00	100.00	vfdb2	NP_645076	(esaB) type VII secretion system protein EsaB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	300173	301507	essB	1-1335/1335	===============	0/0	100.00	99.33	vfdb2	NP_645078	(essB) type VII secretion system protein EssB monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	301529	305968	essC	1-4440/4440	===============	0/0	100.00	98.76	vfdb2	NP_645079	(essC) type VII secretion system protein EssC FtsK/SpoIIIE family ATPase [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	305998	306390	esaC	1-393/393	===============	0/0	100.00	97.96	vfdb2	NP_645081	(esaC) type VII secretion system protein secreted protein EsxC [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	306406	306720	esxB	1-315/315	===============	0/0	100.00	99.05	vfdb2	NP_645082	(esxB) type VII secretion system protein secreted protein EsxB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	336085	338160	geh	1-2073/2073	========/======	1/3	100.00	98.84	vfdb2	NP_645114	(geh) glycerol ester hydrolase [Lipase (VF0012)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	966737	967066	sspC	1-330/330	===============	0/0	100.00	99.70	vfdb2	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1003772	1005706	isdB	1-1938/1938	========/======	1/3	99.85	98.86	vfdb2	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB274STA	11CEB274STA_7	1005908	1006960	isdA	1-1053/1053	===============	0/0	100.00	99.62	vfdb2	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB274STA	11CEB274STA_7	1007169	1007852	isdC	1-684/684	===============	0/0	100.00	99.56	vfdb2	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB274STA	11CEB274STA_7	1007852	1008928	isdD	1-1077/1077	===============	0/0	100.00	98.79	vfdb2	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1008925	1009803	isdE	1-879/879	===============	0/0	100.00	99.77	vfdb2	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB274STA	11CEB274STA_7	1009816	1010781	isdF	1-966/966	===============	0/0	100.00	99.59	vfdb2	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1010843	1011577	srtB	1-735/735	===============	0/0	100.00	99.32	vfdb2	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1011596	1011919	isdG	1-324/324	===============	0/0	100.00	99.38	vfdb2	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB274STA	11CEB274STA_7	1038037	1038996	hly/hla	1-960/960	===============	0/0	100.00	100.00	vfdb2	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1448949	1450409	ebp	1-1461/1461	===============	0/0	100.00	99.93	vfdb2	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1797972	1798940	lukF-PV	1-969/978	========/======	2/2	98.98	82.37	vfdb2	NP_646195	(lukF-PV) Panton-Valentine leukocidin chain F precursor [PVL (VF0018)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	1931993	1933714	map	1-1727/1755	========/======	2/7	98.06	94.79	vfdb2	CAB94853	(map) extracellular proteins Map [Eap/Map (VF0016)] [Staphylococcus aureus str. Newman D2C (ATCC 25904)]
11CEB274STA	11CEB274STA_7	1934103	1935095	hlb	1-993/993	===============	0/0	100.00	99.60	vfdb2	YP_186826	(hlb) beta-hemolysin [<beta>-hemolysin (VF0002)] [Staphylococcus aureus subsp. aureus COL]
11CEB274STA	11CEB274STA_7	1951298	1951432	hld	1-135/135	===============	0/0	100.00	99.26	vfdb2	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	2321880	2323193	sbi	1-1314/1314	========/======	2/2	99.92	94.91	vfdb2	NP_647158	(sbi) IgG-binding protein SBI [Sbi (VF0423)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	2323729	2324658	hlgA	1-930/930	===============	0/0	100.00	99.89	vfdb2	NP_647159	(hlgA) gamma-hemolysin chain II precursor [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	2325225	2326172	hlgC	1-948/948	===============	0/0	100.00	99.68	vfdb2	NP_647160	(hlgC) gamma-hemolysin component C [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	2326174	2327151	hlgB	1-978/978	===============	0/0	100.00	99.90	vfdb2	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	2407170	2410034	fnbB	1-2832/2832	========/======	22/105	98.73	84.63	vfdb2	NP_647237	(fnbB) fibronectin-binding protein B [FnBPs (VF0010)] [Staphylococcus aureus subsp. aureus MW2]
11CEB274STA	11CEB274STA_7	2577017	2578546	aur	1-1530/1530	===============	0/0	100.00	99.41	vfdb2	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
