#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
07CEB94STA	07CEB94STA_8	67033	69351	adsA	1-2319/2319	===============	0/0	100.00	96.42	vfdb	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	138881	140926	lip	1-2046/2046	===============	0/0	100.00	98.97	vfdb	NP_647407	(lip) triacylglycerol lipase precursor [Lipase (CVF091)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	141261	142313	icaC	1-1053/1053	===============	0/0	100.00	99.43	vfdb	NP_647406	(icaC) intercellular adhesion protein C involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	142300	143172	icaB	1-873/873	===============	0/0	100.00	99.89	vfdb	NP_647405	(icaB) N-deacetylase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	143169	143474	icaD	1-306/306	===============	0/0	100.00	99.67	vfdb	NP_647404	(icaD) intercellular adhesion protein D involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	143438	144676	icaA	1-1239/1239	===============	0/0	100.00	99.84	vfdb	NP_647403	(icaA) N-acetylglucosaminyltransferase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	144840	145400	icaR	1-561/561	===============	0/0	100.00	99.64	vfdb	NP_647402	(icaR) ica operon transcriptional regulator IcaR [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	185607	187136	aur	1-1530/1530	===============	0/0	100.00	99.67	vfdb	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	423371	424348	hlgB	1-978/978	===============	0/0	100.00	99.80	vfdb	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	424350	425297	hlgC	1-948/948	===============	0/0	100.00	99.37	vfdb	NP_647160	(hlgC) gamma-hemolysin component C [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	425864	426793	hlgA	1-930/930	===============	0/0	100.00	99.68	vfdb	NP_647159	(hlgA) gamma-hemolysin chain II precursor [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	427329	428639	sbi	1-1314/1314	========/======	1/3	99.77	98.17	vfdb	NP_647158	(sbi) IgG-binding protein SBI [Sbi (VF0423)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	655135	657555	hysA	1-2418/2448	========/======	3/5	98.73	94.67	vfdb	NP_646946	(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	808732	808866	hld	1-135/135	===============	0/0	100.00	99.26	vfdb	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
07CEB94STA	07CEB94STA_8	869454	870227	sea	1-774/774	===============	0/0	100.00	98.71	vfdb	NP_646706	(sea) staphylococcal enterotoxin A precursor [SE (VF0020)] [Staphylococcus aureus subsp. aureus MW2]
