#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
05CEB52STA	05CEB52STA_1	39143	41461	adsA	1-2319/2319	===============	0/0	100.00	96.89	vfdb2	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	122948	123464	cap8A	1-516/516	========/======	1/1	100.00	99.03	vfdb2	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	123632	124318	cap8B	1-687/687	===============	0/0	100.00	96.36	vfdb2	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	124321	125085	cap8C	1-765/765	===============	0/0	100.00	98.69	vfdb2	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	125105	126928	cap8D	1-1824/1824	===============	0/0	100.00	99.29	vfdb2	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	126918	127946	cap8E	1-1029/1029	===============	0/0	100.00	98.74	vfdb2	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	127959	129068	cap8F	1-1110/1110	===============	0/0	100.00	98.47	vfdb2	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	129072	130196	cap8G	1-1125/1125	===============	0/0	100.00	99.02	vfdb2	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	130199	131278	cap8H	1-1080/1080	===============	0/0	100.00	99.17	vfdb2	NP_644946	(cap8H) capsular polysaccharide synthesis enzyme Cap8H [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	131271	132665	cap8I	1-1395/1395	===============	0/0	100.00	99.14	vfdb2	NP_644947	(cap8I) capsular polysaccharide synthesis enzyme Cap8I [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	132662	133219	cap8J	1-558/558	===============	0/0	100.00	99.10	vfdb2	NP_644948	(cap8J) capsular polysaccharide synthesis enzyme Cap8J [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	133228	134466	cap8K	1-1239/1239	===============	0/0	100.00	98.87	vfdb2	NP_644949	(cap8K) capsular polysaccharide synthesis enzyme Cap8K [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	134500	135705	cap8L	1-1206/1206	===============	0/0	100.00	98.09	vfdb2	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	135716	136273	cap8M	1-558/558	===============	0/0	100.00	98.92	vfdb2	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	136273	137160	cap8N	1-888/888	===============	0/0	100.00	97.86	vfdb2	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	137214	138476	cap8O	1-1263/1263	===============	0/0	100.00	99.05	vfdb2	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
05CEB52STA	05CEB52STA_1	138553	139698	cap8P	1-1146/1146	===============	0/0	100.00	99.39	vfdb2	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
