#GENOME	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
09CEB303STA	09CEB303STA_8	14395	14911	cap8A	1-516/516	========/======	1/1	100.00	99.42	vfdb	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	15079	15765	cap8B	1-687/687	===============	0/0	100.00	98.98	vfdb	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	15768	16532	cap8C	1-765/765	===============	0/0	100.00	99.61	vfdb	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	16552	18376	cap8D	1-1824/1824	========/======	1/1	100.00	99.84	vfdb	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	18366	19394	cap8E	1-1029/1029	===============	0/0	100.00	99.12	vfdb	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	19407	20516	cap8F	1-1110/1110	===============	0/0	100.00	99.55	vfdb	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	20520	21644	cap8G	1-1125/1125	===============	0/0	100.00	99.64	vfdb	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	25766	26971	cap8L	1-1206/1206	===============	0/0	100.00	99.75	vfdb	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	26982	27539	cap8M	1-558/558	===============	0/0	100.00	99.82	vfdb	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	27539	28426	cap8N	1-888/888	===============	0/0	100.00	98.65	vfdb	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	28480	29742	cap8O	1-1263/1263	===============	0/0	100.00	98.73	vfdb	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	29819	30964	cap8P	1-1146/1146	===============	0/0	100.00	99.39	vfdb	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
