#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
11CEB276STA	11CEB276STA_1	114271	114787	cap8A	1-516/516	========/======	1/1	100.00	99.42	vfdb	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	114955	115641	cap8B	1-687/687	===============	0/0	100.00	98.98	vfdb	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	115644	116408	cap8C	1-765/765	===============	0/0	100.00	99.61	vfdb	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	116428	118251	cap8D	1-1824/1824	===============	0/0	100.00	99.89	vfdb	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	118241	119269	cap8E	1-1029/1029	===============	0/0	100.00	99.12	vfdb	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	119282	120391	cap8F	1-1110/1110	===============	0/0	100.00	99.55	vfdb	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	120395	121519	cap8G	1-1125/1125	===============	0/0	100.00	99.64	vfdb	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	125641	126846	cap8L	1-1206/1206	===============	0/0	100.00	99.75	vfdb	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	126857	127414	cap8M	1-558/558	===============	0/0	100.00	99.82	vfdb	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB276STA	11CEB276STA_1	127414	128301	cap8N	1-888/888	===============	0/0	100.00	98.65	vfdb	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
